,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_Nm,torque_rpm,company,Model
0,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,190.0,2000,Maruti,Swift
1,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5.0,250.0,1500,Skoda,Rapid
2,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5.0,12.7,2700,Honda,City
3,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5.0,22.4,1750,Hyundai,i20
4,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5.0,11.5,4500,Maruti,Swift
5,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5.0,113.75,4000,Hyundai,Xcent
6,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5.0,7.8,4500,Maruti,Wagon
7,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,59.0,2500,Maruti,800
8,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5.0,170.0,1800,Toyota,Etios
9,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5.0,160.0,2000,Ford,Figo
10,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5.0,248.0,2250,Renault,Duster
11,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,78.0,4500,Maruti,Zen
12,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5.0,190.0,2000,Maruti,Swift
14,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,84.0,3500,Maruti,Wagon
15,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5.0,115.0,3500,Mahindra,KUV
16,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7.0,200.0,1750,Maruti,Ertiga
17,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5.0,22.4,1750,Hyundai,i20
18,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,62.0,3000,Maruti,Alto
19,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,219.7,1500,Hyundai,i20
20,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5.0,160.0,2000,Mahindra,other_model
21,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5.0,200.0,1750,Honda,other_model
22,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,190.0,2000,Maruti,Swift
23,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5.0,200.0,1750,Maruti,SX4
24,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5.0,114.0,3500,Tata,other_model
25,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,115.0,4000,Maruti,Baleno
26,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,69.0,3500,Maruti,Alto
27,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7.0,172.5,1750,Chevrolet,other_model
28,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5.0,84.0,3500,Maruti,Wagon
29,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8.0,59.0,2500,Maruti,other_model
30,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
32,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5.0,6.1,3000,Maruti,other_model
33,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,114.7,4000,Hyundai,i20
34,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,200.0,1750,Maruti,Vitara
35,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4.0,60.0,3500,Maruti,Alto
